IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
59.3.3.161,443,443,true,ICN,Asia Pacific,Seoul,190,14.21
192.237.192.175,443,443,true,DFW,North America,Dallas,211,13.33
45.91.82.74,443,443,true,LAX,North America,Los Angeles,158,11.95
154.17.25.65,443,443,true,LAX,North America,Los Angeles,157,11.86
38.49.59.43,443,443,true,LAX,North America,Los Angeles,152,10.25
45.85.93.51,443,443,true,FRA,Europe,Frankfurt,218,7.88
18.153.94.168,443,443,true,FRA,Europe,Frankfurt,170,7.77
66.85.139.204,443,443,true,PHX,North America,Phoenix,197,7.63
3.122.86.99,443,443,true,FRA,Europe,Frankfurt,217,7.55
18.153.244.138,443,443,true,FRA,Europe,Frankfurt,224,7.46
80.76.34.121,443,443,true,AMS,Europe,Amsterdam,178,6.80
46.101.243.68,443,443,true,FRA,Europe,Frankfurt,253,6.63
38.180.30.217,443,443,true,LHR,Europe,London,204,6.14
79.72.83.22,443,443,true,FRA,Europe,Frankfurt,243,6.04
104.248.16.87,443,443,true,FRA,Europe,Frankfurt,271,5.97
34.72.146.82,443,443,true,ORD,North America,Chicago,258,5.93
18.211.101.20,443,443,true,IAD,North America,Ashburn,243,5.70
34.69.150.180,443,443,true,ORD,North America,Chicago,289,5.60
51.20.99.157,443,443,true,AMS,Europe,Amsterdam,225,5.51
94.177.8.51,443,443,true,VIE,Europe,Vienna,266,5.35
18.235.208.126,443,443,true,IAD,North America,Ashburn,258,5.24
143.47.179.185,443,443,true,FRA,Europe,Frankfurt,280,5.22
193.122.13.77,443,443,true,FRA,Europe,Frankfurt,291,5.12
150.230.118.118,443,443,true,FRA,Europe,Frankfurt,275,4.67
141.144.238.115,443,443,true,FRA,Europe,Frankfurt,271,4.08
132.145.12.190,443,443,true,FRA,Europe,Frankfurt,282,3.99
141.144.196.105,443,443,true,FRA,Europe,Frankfurt,280,3.77
141.147.5.60,443,443,true,FRA,Europe,Frankfurt,268,3.75
132.226.214.155,443,443,true,FRA,Europe,Frankfurt,296,3.73
103.79.79.192,443,443,true,LAX,North America,Los Angeles,193,3.68
213.183.48.227,443,443,true,WAW,Europe,Warsaw,137,3.57
43.204.80.35,443,443,true,BOM,Asia Pacific,Mumbai,324,3.37
141.147.112.254,443,443,true,FRA,Europe,Frankfurt,273,3.26
18.135.99.163,443,443,true,LHR,Europe,London,207,3.02
91.149.239.122,443,443,true,LAX,North America,Los Angeles,195,1.34
51.20.197.83,443,443,true,ARN,Europe,Stockholm,209,1.34
34.22.190.30,443,443,true,CDG,Europe,Paris,273,1.31
3.8.172.27,443,443,true,LHR,Europe,London,210,1.08
44.227.209.152,443,443,true,PDX,North America,Portland,211,1.02
141.147.107.88,443,443,true,FRA,Europe,Frankfurt,282,1.01
193.168.143.152,443,443,true,OTP,Europe,Bucharest,308,0.90
128.199.35.148,443,443,true,AMS,Europe,Amsterdam,232,0.88
91.149.239.206,443,443,true,LAX,North America,Los Angeles,186,0.87
103.182.97.12,443,443,true,SJC,North America,San Jose,171,0.86
147.45.43.7,443,443,true,FRA,Europe,Frankfurt,224,0.75
193.122.62.181,443,443,true,FRA,Europe,Frankfurt,240,0.71
158.101.216.196,443,443,true,FRA,Europe,Frankfurt,258,0.66
45.132.1.254,443,443,true,FRA,Europe,Frankfurt,267,0.59
141.147.71.54,443,443,true,FRA,Europe,Frankfurt,323,0.59
138.197.189.110,443,443,true,FRA,Europe,Frankfurt,279,0.58
34.88.63.160,443,443,true,FRA,Europe,Frankfurt,371,0.55
141.148.228.245,443,443,true,FRA,Europe,Frankfurt,304,0.50
152.67.134.194,443,443,true,FRA,Europe,Frankfurt,273,0.44
107.148.42.163,443,443,true,LAX,North America,Los Angeles,182,0.38
185.106.103.168,443,443,true,LCA,Europe,Nicosia,258,0.38
185.113.8.15,443,443,true,AMS,Europe,Amsterdam,208,0.37
35.197.239.137,443,443,true,LHR,Europe,London,283,0.33
158.178.153.14,443,443,true,FRA,Europe,Frankfurt,289,0.33
47.21.145.234,443,443,true,EWR,North America,Newark,287,0.32
132.145.235.59,443,443,true,FRA,Europe,Frankfurt,288,0.31
216.238.108.127,443,443,true,GRU,South America,São Paulo,355,0.31
141.147.89.96,443,443,true,FRA,Europe,Frankfurt,272,0.28
3.75.149.151,443,443,true,FRA,Europe,Frankfurt,205,0.27
94.177.8.34,443,443,true,VIE,Europe,Vienna,275,0.26
141.148.232.156,443,443,true,FRA,Europe,Frankfurt,273,0.26
94.177.8.54,443,443,true,VIE,Europe,Vienna,282,0.26
51.20.124.5,443,443,true,ARN,Europe,Stockholm,250,0.26
91.230.213.70,443,443,true,KWI,Middle East,Kuwait City,297,0.24
132.145.227.140,443,443,true,FRA,Europe,Frankfurt,271,0.24
141.144.243.82,443,443,true,FRA,Europe,Frankfurt,277,0.23
144.21.32.139,443,443,true,FRA,Europe,Frankfurt,241,0.22
185.94.164.107,443,443,true,AMS,Europe,Amsterdam,220,0.22
132.145.234.167,443,443,true,FRA,Europe,Frankfurt,240,0.19
141.147.48.89,443,443,true,FRA,Europe,Frankfurt,269,0.19
185.151.243.200,443,443,true,LED,Europe,Saint Petersburg,253,0.18
35.95.178.68,443,443,true,SJC,North America,San Jose,184,0.18
94.177.8.11,443,443,true,VIE,Europe,Vienna,291,0.17
154.23.243.100,443,443,true,LAX,North America,Los Angeles,170,0.14
141.144.202.206,443,443,true,FRA,Europe,Frankfurt,303,0.14
143.47.190.199,443,443,true,FRA,Europe,Frankfurt,270,0.14
158.101.209.252,443,443,true,FRA,Europe,Frankfurt,300,0.13
20.100.9.147,443,443,true,CPH,Europe,Copenhagen,242,0.13
38.60.91.95,443,443,true,LAX,North America,Los Angeles,196,0.13
45.147.51.230,443,443,true,FRA,Europe,Frankfurt,251,0.13
174.138.8.21,443,443,true,AMS,Europe,Amsterdam,281,0.13
69.28.83.244,443,443,true,YYZ,North America,Toronto,234,0.12
3.69.0.8,443,443,true,FRA,Europe,Frankfurt,203,0.12
204.110.220.12,443,443,true,PDX,North America,Portland,221,0.12
185.233.203.162,443,443,true,AMS,Europe,Amsterdam,230,0.12
20.127.201.36,443,443,true,IAD,North America,Ashburn,248,0.12
150.230.124.185,443,443,true,FRA,Europe,Frankfurt,276,0.12
35.95.2.151,443,443,true,PDX,North America,Portland,176,0.11
18.185.254.189,443,443,true,FRA,Europe,Frankfurt,198,0.11
193.0.239.232,443,443,true,RIX,Europe,Riga,196,0.11
165.227.134.63,443,443,true,FRA,Europe,Frankfurt,282,0.11
52.221.193.22,443,443,true,SIN,Asia Pacific,Singapore,68,0.10
185.102.136.39,443,443,true,HEL,Europe,Helsinki,307,0.09
43.156.253.94,443,443,true,SIN,Asia Pacific,Singapore,242,0.09
207.2.120.16,443,443,true,SJC,North America,San Jose,183,0.08
18.190.127.150,443,443,true,ORD,North America,Chicago,240,0.08
94.177.8.48,443,443,true,VIE,Europe,Vienna,265,0.08
45.76.198.248,443,443,true,NRT,Asia Pacific,Tokyo,145,0.08
185.117.119.37,443,443,true,HEL,Europe,Helsinki,307,0.08
3.9.223.59,443,443,true,LHR,Europe,London,228,0.08
91.90.193.24,443,443,true,GVA,Europe,Geneva,190,0.08
204.110.220.254,443,443,true,PDX,North America,Portland,192,0.07
94.177.8.40,443,443,true,VIE,Europe,Vienna,258,0.07
38.180.92.156,443,443,true,LHR,Europe,London,202,0.07
104.248.128.137,443,443,true,FRA,Europe,Frankfurt,258,0.07
34.142.31.109,443,443,true,LHR,Europe,London,280,0.07
46.32.184.115,443,443,true,VIE,Europe,Vienna,276,0.07
18.198.227.161,443,443,true,FRA,Europe,Frankfurt,198,0.06
54.194.162.247,443,443,true,DUB,Europe,Dublin,212,0.06
204.110.223.27,443,443,true,ORD,North America,Chicago,217,0.06
207.2.120.15,443,443,true,SJC,North America,San Jose,175,0.06
185.94.165.200,443,443,true,AMS,Europe,Amsterdam,191,0.06
95.214.9.72,443,443,true,VIE,Europe,Vienna,279,0.06
212.192.9.26,443,443,true,AMS,Europe,Amsterdam,253,0.05
51.20.137.24,443,443,true,ARN,Europe,Stockholm,265,0.05
194.58.68.145,443,443,true,AMS,Europe,Amsterdam,235,0.05
18.135.188.86,443,443,true,LHR,Europe,London,208,0.04
204.110.220.3,443,443,true,PDX,North America,Portland,193,0.04
204.110.223.232,443,443,true,ORD,North America,Chicago,230,0.04
185.104.250.204,443,443,true,HEL,Europe,Helsinki,307,0.04
52.40.148.143,443,443,true,SJC,North America,San Jose,200,0.04
139.45.214.58,443,443,true,VIE,Europe,Vienna,290,0.04
192.236.249.90,443,443,true,AMS,Europe,Amsterdam,300,0.04
92.118.169.17,443,443,true,AMS,Europe,Amsterdam,261,0.03
172.212.108.47,443,443,true,IAD,North America,Ashburn,259,0.03
3.24.174.233,443,443,true,SYD,Oceania,Sydney,260,0.03
20.62.202.159,443,443,true,IAD,North America,Ashburn,263,0.03
80.158.63.104,443,443,true,FRA,Europe,Frankfurt,270,0.03
20.121.115.188,443,443,true,IAD,North America,Ashburn,254,0.03
