IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
192.236.249.110,443,443,true,AMS,Europe,NL,Amsterdam,243,0.01
89.42.142.147,443,443,true,AMS,Europe,NL,Amsterdam,267,0.00
77.92.85.76,443,443,true,KIV,Europe,MD,Chișinău,256,0.00
78.142.230.76,443,443,true,AMS,Europe,NL,Amsterdam,262,0.00
50.3.182.150,443,443,true,WAW,Europe,PL,Warsaw,329,0.00
52.202.68.136,443,443,true,IAD,North America,US,Ashburn,245,0.00
185.203.116.174,443,0,true,SOF,Europe,BG,Sofia,246,0.00
38.180.21.33,443,443,true,CDG,Europe,FR,Paris,356,0.00
195.245.113.28,443,443,true,AMS,Europe,NL,Amsterdam,284,0.00
84.235.168.209,443,443,true,FRA,Europe,DE,Frankfurt,275,0.00
206.189.129.187,443,443,true,BLR,Asia Pacific,IN,Bangalore,275,0.00
