IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
185.103.109.139,443,443,true,MXP,Europe,Milan,300,0.05
2.59.183.140,443,443,true,AMS,Europe,Amsterdam,284,0.04
185.117.119.37,443,443,true,HEL,Europe,Helsinki,274,0.03
77.91.69.146,443,443,true,TLV,Middle East,Tel Aviv,313,0.03
31.172.74.223,443,0,true,AMS,Europe,Amsterdam,271,0.03
13.49.166.245,443,443,true,ARN,Europe,Stockholm,197,0.02
2.59.183.25,443,443,true,AMS,Europe,Amsterdam,268,0.02
119.224.58.125,443,443,true,AKL,Oceania,Auckland,432,0.02
185.23.236.127,443,443,true,ARN,Europe,Stockholm,327,0.02
81.22.132.113,443,443,true,AMS,Europe,Amsterdam,266,0.02
2.59.183.210,443,443,true,AMS,Europe,Amsterdam,292,0.02
2.59.183.219,443,443,true,AMS,Europe,Amsterdam,262,0.01
192.236.249.89,443,443,true,AMS,Europe,Amsterdam,305,0.01
31.210.173.73,443,443,true,AMS,Europe,Amsterdam,270,0.01
194.87.122.237,443,443,true,HEL,Europe,Helsinki,361,0.01
163.5.207.103,443,443,true,AMS,Europe,Amsterdam,271,0.01
91.239.148.133,443,443,true,VIE,Europe,Vienna,277,0.01
166.1.157.220,443,443,true,HEL,Europe,Helsinki,335,0.01
195.54.175.160,443,443,true,AMS,Europe,Amsterdam,267,0.01
143.47.189.24,443,443,true,FRA,Europe,Frankfurt,295,0.00
35.157.121.50,443,443,true,FRA,Europe,Frankfurt,185,0.00
94.131.9.56,443,443,true,CDG,Europe,Paris,274,0.00
147.45.134.48,443,443,true,AMS,Europe,Amsterdam,317,0.00
8.223.39.101,443,443,true,HKG,Asia Pacific,Hong Kong,55,0.00
194.247.187.181,443,443,true,AMS,Europe,Amsterdam,253,0.00
94.177.8.9,443,443,true,VIE,Europe,Vienna,264,0.00
192.236.249.93,443,443,true,AMS,Europe,Amsterdam,309,0.00
221.127.50.207,443,443,true,HKG,Asia Pacific,Hong Kong,296,0.00
132.145.95.91,443,443,true,ICN,Asia Pacific,Seoul,80,0.00
193.106.150.112,443,443,true,AMS,Europe,Amsterdam,270,0.00
3.124.208.189,443,443,true,FRA,Europe,Frankfurt,233,0.00
208.67.105.42,443,443,true,AMS,Europe,Amsterdam,229,0.00
54.37.235.201,443,443,true,WAW,Europe,Warsaw,279,0.00
163.5.207.143,443,443,true,AMS,Europe,Amsterdam,246,0.00
