IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
103.79.79.192,443,443,true,LAX,North America,Los Angeles,181,3.48
84.235.172.180,443,443,true,FRA,Europe,Frankfurt,268,3.48
142.93.133.91,443,443,true,AMS,Europe,Amsterdam,234,3.46
141.148.236.178,443,443,true,FRA,Europe,Frankfurt,251,3.42
139.59.206.9,443,443,true,FRA,Europe,Frankfurt,311,3.29
95.142.45.147,443,443,true,KBP,Europe,Kyiv,268,3.29
141.147.86.86,443,443,true,FRA,Europe,Frankfurt,288,3.26
45.144.233.168,443,443,true,FRA,Europe,Frankfurt,239,3.26
150.230.22.117,443,443,true,FRA,Europe,Frankfurt,283,3.22
79.132.143.121,443,443,true,FRA,Europe,Frankfurt,250,3.21
89.44.194.160,443,443,true,FRA,Europe,Frankfurt,234,3.17
3.68.62.122,443,443,true,FRA,Europe,Frankfurt,204,3.16
37.235.54.135,443,443,true,LHR,Europe,London,260,3.16
195.62.33.94,443,443,true,FRA,Europe,Frankfurt,219,3.11
193.0.239.232,443,443,true,ARN,Europe,Stockholm,331,3.09
161.35.33.148,443,443,true,LHR,Europe,London,287,3.08
128.199.35.148,443,443,true,AMS,Europe,Amsterdam,237,3.06
141.147.80.205,443,443,true,FRA,Europe,Frankfurt,280,3.02
178.73.220.132,443,443,true,ARN,Europe,Stockholm,233,3.01
154.23.240.232,443,443,true,LAX,North America,Los Angeles,149,2.98
212.192.31.162,443,443,true,FRA,Europe,Frankfurt,304,2.93
172.200.2.241,443,443,true,IAD,North America,Ashburn,257,2.91
3.127.55.133,443,443,true,FRA,Europe,Frankfurt,177,2.89
51.21.48.77,443,443,true,ARN,Europe,Stockholm,195,2.86
45.85.93.21,443,443,true,MXP,Europe,Milan,206,2.77
193.233.202.196,443,443,true,KIV,Europe,Chișinău,241,2.74
20.100.9.147,443,443,true,CPH,Europe,Copenhagen,260,2.69
34.147.231.33,443,443,true,LHR,Europe,London,268,2.66
45.80.208.39,443,443,true,ALA,Asia Pacific,Almaty,278,2.64
